REP,NITROGEN,TRT,CODE,DPT,Height_cm
R1,N100,MOCK,A,3,7
R1,N100,201900,B,3,8
R1,N10,MOCK,C,3,8.5
R1,N10,201900,D,3,9
R2,N100,MOCK,A,3,8
R2,N100,201900,B,3,8
R2,N10,MOCK,C,3,8
R2,N10,201900,D,3,7
R3,N100,MOCK,A,3,9.5
R3,N100,201900,B,3,9.5
R3,N10,MOCK,C,3,8.5
R3,N10,201900,D,3,9
R4,N100,MOCK,A,3,9.5
R4,N100,201900,B,3,10
R4,N10,MOCK,C,3,7.5
R4,N10,201900,D,3,9.5
R5,N100,MOCK,A,3,9.5
R5,N100,201900,B,3,7.5
R5,N10,MOCK,C,3,8.5
R5,N10,201900,D,3,8.5
R6,N100,MOCK,A,3,8
R6,N100,201900,B,3,11.5
R6,N10,MOCK,C,3,5.5
R6,N10,201900,D,3,8
R7,N100,MOCK,A,3,9.5
R7,N100,201900,B,3,11
R7,N10,MOCK,C,3,9
R7,N10,201900,D,3,9
R1,N100,MOCK,A,7,12
R1,N100,201900,B,7,14
R1,N10,MOCK,C,7,11.5
R1,N10,201900,D,7,16
R2,N100,MOCK,A,7,15
R2,N100,201900,B,7,15
R2,N10,MOCK,C,7,15
R2,N10,201900,D,7,10
R3,N100,MOCK,A,7,13
R3,N100,201900,B,7,12
R3,N10,MOCK,C,7,14
R3,N10,201900,D,7,14
R4,N100,MOCK,A,7,10
R4,N100,201900,B,7,14
R4,N10,MOCK,C,7,12
R4,N10,201900,D,7,11
R5,N100,MOCK,A,7,12.5
R5,N100,201900,B,7,13
R5,N10,MOCK,C,7,11
R5,N10,201900,D,7,13
R6,N100,MOCK,A,7,11.5
R6,N100,201900,B,7,13.5
R6,N10,MOCK,C,7,9.5
R6,N10,201900,D,7,11
R7,N100,MOCK,A,7,15.5
R7,N100,201900,B,7,13.5
R7,N10,MOCK,C,7,16
R7,N10,201900,D,7,13.5
R1,N100,MOCK,A,11,17
R1,N100,201900,B,11,20
R1,N10,MOCK,C,11,20.5
R1,N10,201900,D,11,20
R2,N100,MOCK,A,11,16.5
R2,N100,201900,B,11,21
R2,N10,MOCK,C,11,21.5
R2,N10,201900,D,11,11
R3,N100,MOCK,A,11,18.5
R3,N100,201900,B,11,21
R3,N10,MOCK,C,11,23
R3,N10,201900,D,11,19
R4,N100,MOCK,A,11,19
R4,N100,201900,B,11,18.5
R4,N10,MOCK,C,11,17
R4,N10,201900,D,11,24.5
R5,N100,MOCK,A,11,21
R5,N100,201900,B,11,20.5
R5,N10,MOCK,C,11,18
R5,N10,201900,D,11,19.5
R6,N100,MOCK,A,11,17
R6,N100,201900,B,11,17
R6,N10,MOCK,C,11,22
R6,N10,201900,D,11,24
R7,N100,MOCK,A,11,17
R7,N100,201900,B,11,23
R7,N10,MOCK,C,11,23.5
R7,N10,201900,D,11,24.5
R1,N100,MOCK,A,15,29.5
R1,N100,201900,B,15,28.5
R1,N10,MOCK,C,15,30.5
R1,N10,201900,D,15,29
R2,N100,MOCK,A,15,30.5
R2,N100,201900,B,15,39
R2,N10,MOCK,C,15,31.5
R2,N10,201900,D,15,24.5
R3,N100,MOCK,A,15,40.5
R3,N100,201900,B,15,42.5
R3,N10,MOCK,C,15,35
R3,N10,201900,D,15,31.5
R4,N100,MOCK,A,15,31
R4,N100,201900,B,15,31.5
R4,N10,MOCK,C,15,25
R4,N10,201900,D,15,33
R5,N100,MOCK,A,15,39.5
R5,N100,201900,B,15,34
R5,N10,MOCK,C,15,28
R5,N10,201900,D,15,36
R6,N100,MOCK,A,15,35.5
R6,N100,201900,B,15,34.5
R6,N10,MOCK,C,15,30.5
R6,N10,201900,D,15,33.5
R7,N100,MOCK,A,15,36
R7,N100,201900,B,15,37.5
R7,N10,MOCK,C,15,35.5
R7,N10,201900,D,15,31.5
R1,N100,MOCK,A,19,42
R1,N100,201900,B,19,47.5
R1,N10,MOCK,C,19,38
R1,N10,201900,D,19,40
R2,N100,MOCK,A,19,47
R2,N100,201900,B,19,49
R2,N10,MOCK,C,19,31.5
R2,N10,201900,D,19,31
R3,N100,MOCK,A,19,53
R3,N100,201900,B,19,48.5
R3,N10,MOCK,C,19,39
R3,N10,201900,D,19,44.5
R4,N100,MOCK,A,19,39.5
R4,N100,201900,B,19,38.5
R4,N10,MOCK,C,19,33.5
R4,N10,201900,D,19,46.5
R5,N100,MOCK,A,19,43
R5,N100,201900,B,19,52
R5,N10,MOCK,C,19,30
R5,N10,201900,D,19,53
R6,N100,MOCK,A,19,44.5
R6,N100,201900,B,19,45.5
R6,N10,MOCK,C,19,46.5
R6,N10,201900,D,19,55
R7,N100,MOCK,A,19,43.5
R7,N100,201900,B,19,60
R7,N10,MOCK,C,19,44.5
R7,N10,201900,D,19,46.5
R1,N100,MOCK,A,23,62
R1,N100,201900,B,23,83.5
R1,N10,MOCK,C,23,53
R1,N10,201900,D,23,57
R2,N100,MOCK,A,23,71
R2,N100,201900,B,23,68
R2,N10,MOCK,C,23,45
R2,N10,201900,D,23,51
R3,N100,MOCK,A,23,67.5
R3,N100,201900,B,23,76
R3,N10,MOCK,C,23,51.5
R3,N10,201900,D,23,54
R4,N100,MOCK,A,23,80.5
R4,N100,201900,B,23,76.5
R4,N10,MOCK,C,23,50.5
R4,N10,201900,D,23,60
R5,N100,MOCK,A,23,63.5
R5,N100,201900,B,23,74
R5,N10,MOCK,C,23,48.5
R5,N10,201900,D,23,58
R6,N100,MOCK,A,23,57.5
R6,N100,201900,B,23,74
R6,N10,MOCK,C,23,53.5
R6,N10,201900,D,23,68
R7,N100,MOCK,A,23,63
R7,N100,201900,B,23,87
R7,N10,MOCK,C,23,62
R7,N10,201900,D,23,55
R1,N100,MOCK,A,27,85.5
R1,N100,201900,B,27,94
R1,N10,MOCK,C,27,63.5
R1,N10,201900,D,27,64
R2,N100,MOCK,A,27,75.5
R2,N100,201900,B,27,88
R2,N10,MOCK,C,27,57.5
R2,N10,201900,D,27,60
R3,N100,MOCK,A,27,88
R3,N100,201900,B,27,90.5
R3,N10,MOCK,C,27,51.5
R3,N10,201900,D,27,61
R4,N100,MOCK,A,27,87
R4,N100,201900,B,27,95
R4,N10,MOCK,C,27,54.5
R4,N10,201900,D,27,59
R5,N100,MOCK,A,27,88.5
R5,N100,201900,B,27,88.5
R5,N10,MOCK,C,27,52
R5,N10,201900,D,27,73
R6,N100,MOCK,A,27,78
R6,N100,201900,B,27,93
R6,N10,MOCK,C,27,63
R6,N10,201900,D,27,72.5
R7,N100,MOCK,A,27,88.5
R7,N100,201900,B,27,104
R7,N10,MOCK,C,27,74.5
R7,N10,201900,D,27,60.5
R1,N100,MOCK,A,31,96
R1,N100,201900,B,31,111.5
R1,N10,MOCK,C,31,72
R1,N10,201900,D,31,74
R2,N100,MOCK,A,31,87.5
R2,N100,201900,B,31,104.5
R2,N10,MOCK,C,31,64
R2,N10,201900,D,31,72
R3,N100,MOCK,A,31,108
R3,N100,201900,B,31,110
R3,N10,MOCK,C,31,61.5
R3,N10,201900,D,31,74
R4,N100,MOCK,A,31,118.5
R4,N100,201900,B,31,124
R4,N10,MOCK,C,31,66.5
R4,N10,201900,D,31,71
R5,N100,MOCK,A,31,106
R5,N100,201900,B,31,113
R5,N10,MOCK,C,31,59
R5,N10,201900,D,31,82.5
R6,N100,MOCK,A,31,101
R6,N100,201900,B,31,95
R6,N10,MOCK,C,31,66.5
R6,N10,201900,D,31,108
R7,N100,MOCK,A,31,109
R7,N100,201900,B,31,116.5
R7,N10,MOCK,C,31,86.5
R7,N10,201900,D,31,71
R1,N100,MOCK,A,35,120.5
R1,N100,201900,B,35,131
R1,N10,MOCK,C,35,81
R1,N10,201900,D,35,84
R2,N100,MOCK,A,35,117.5
R2,N100,201900,B,35,137
R2,N10,MOCK,C,35,78
R2,N10,201900,D,35,85.5
R3,N100,MOCK,A,35,137
R3,N100,201900,B,35,137
R3,N10,MOCK,C,35,76.5
R3,N10,201900,D,35,84
R4,N100,MOCK,A,35,143.5
R4,N100,201900,B,35,143
R4,N10,MOCK,C,35,76
R4,N10,201900,D,35,87
R5,N100,MOCK,A,35,134
R5,N100,201900,B,35,138.5
R5,N10,MOCK,C,35,73
R5,N10,201900,D,35,91.5
R6,N100,MOCK,A,35,122
R6,N100,201900,B,35,97.5
R6,N10,MOCK,C,35,87
R6,N10,201900,D,35,141.5
R7,N100,MOCK,A,35,134
R7,N100,201900,B,35,135.5
R7,N10,MOCK,C,35,96
R7,N10,201900,D,35,88.5
R1,N100,MOCK,A,39,129.5
R1,N100,201900,B,39,141.5
R1,N10,MOCK,C,39,82
R1,N10,201900,D,39,88.5
R2,N100,MOCK,A,39,129.5
R2,N100,201900,B,39,152.5
R2,N10,MOCK,C,39,82
R2,N10,201900,D,39,91.5
R3,N100,MOCK,A,39,154
R3,N100,201900,B,39,148
R3,N10,MOCK,C,39,82.5
R3,N10,201900,D,39,88.5
R4,N100,MOCK,A,39,160
R4,N100,201900,B,39,152.5
R4,N10,MOCK,C,39,81
R4,N10,201900,D,39,91.5
R5,N100,MOCK,A,39,149.5
R5,N100,201900,B,39,149.5
R5,N10,MOCK,C,39,88.5
R5,N10,201900,D,39,97.5
R6,N100,MOCK,A,39,137
R6,N100,201900,B,39,151
R6,N10,MOCK,C,39,93
R6,N10,201900,D,39,103.5
R7,N100,MOCK,A,39,140
R7,N100,201900,B,39,154
R7,N10,MOCK,C,39,97.5
R7,N10,201900,D,39,94.5
R1,N100,MOCK,A,43,141.5
R1,N100,201900,B,43,155.5
R1,N10,MOCK,C,43,88.5
R1,N10,201900,D,43,93
R2,N100,MOCK,A,43,138.5
R2,N100,201900,B,43,164.5
R2,N10,MOCK,C,43,84
R2,N10,201900,D,43,93
R3,N100,MOCK,A,43,167.5
R3,N100,201900,B,43,157
R3,N10,MOCK,C,43,87
R3,N10,201900,D,43,93
R4,N100,MOCK,A,43,166
R4,N100,201900,B,43,167.5
R4,N10,MOCK,C,43,83.5
R4,N10,201900,D,43,94.5
R5,N100,MOCK,A,43,158.5
R5,N100,201900,B,43,163
R5,N10,MOCK,C,43,79.5
R5,N10,201900,D,43,100.5
R6,N100,MOCK,A,43,151
R6,N100,201900,B,43,163
R6,N10,MOCK,C,43,96
R6,N10,201900,D,43,106.5
R7,N100,MOCK,A,43,152.5
R7,N100,201900,B,43,164.5
R7,N10,MOCK,C,43,103.5
R7,N10,201900,D,43,97.5
R1,N100,MOCK,A,47,149.5
R1,N100,201900,B,47,163
R1,N10,MOCK,C,47,91.5
R1,N10,201900,D,47,96
R2,N100,MOCK,A,47,158.5
R2,N100,201900,B,47,178.5
R2,N10,MOCK,C,47,90
R2,N10,201900,D,47,99
R3,N100,MOCK,A,47,177
R3,N100,201900,B,47,169
R3,N10,MOCK,C,47,91.5
R3,N10,201900,D,47,97.5
R4,N100,MOCK,A,47,180
R4,N100,201900,B,47,175
R4,N10,MOCK,C,47,117.5
R4,N10,201900,D,47,97.5
R5,N100,MOCK,A,47,167.5
R5,N100,201900,B,47,172
R5,N10,MOCK,C,47,84
R5,N10,201900,D,47,103.5
R6,N100,MOCK,A,47,116
R6,N100,201900,B,47,173.5
R6,N10,MOCK,C,47,99
R6,N10,201900,D,47,112.5
R7,N100,MOCK,A,47,157
R7,N100,201900,B,47,172
R7,N10,MOCK,C,47,106.5
R7,N10,201900,D,47,100.5
R1,N100,MOCK,A,51,161.5
R1,N100,201900,B,51,178.5
R1,N10,MOCK,C,51,99
R1,N10,201900,D,51,102
R2,N100,MOCK,A,51,181.5
R2,N100,201900,B,51,193.5
R2,N10,MOCK,C,51,96
R2,N10,201900,D,51,105
R3,N100,MOCK,A,51,195
R3,N100,201900,B,51,189
R3,N10,MOCK,C,51,93
R3,N10,201900,D,51,105
R4,N100,MOCK,A,51,301
R4,N100,201900,B,51,198
R4,N10,MOCK,C,51,94.5
R4,N10,201900,D,51,103.5
R5,N100,MOCK,A,51,187.5
R5,N100,201900,B,51,192
R5,N10,MOCK,C,51,88.5
R5,N10,201900,D,51,110
R6,N100,MOCK,A,51,183
R6,N100,201900,B,51,193.5
R6,N10,MOCK,C,51,103.5
R6,N10,201900,D,51,119
R7,N100,MOCK,A,51,117.5
R7,N100,201900,B,51,109.5
R7,N10,MOCK,C,51,109.5
R7,N10,201900,D,51,103.5
R1,N100,MOCK,A,55,173.736
R1,N100,201900,B,55,187.452
R1,N10,MOCK,C,55,103.632
R1,N10,201900,D,55,106.68
R2,N100,MOCK,A,55,190.5
R2,N100,201900,B,55,102
R2,N10,MOCK,C,55,103.5
R2,N10,201900,D,55,110
R3,N100,MOCK,A,55,202.5
R3,N100,201900,B,55,201
R3,N10,MOCK,C,55,97.5
R3,N10,201900,D,55,112.5
R4,N100,MOCK,A,55,210.5
R4,N100,201900,B,55,205.5
R4,N10,MOCK,C,55,94.5
R4,N10,201900,D,55,109.5
R5,N100,MOCK,A,55,195
R5,N100,201900,B,55,201
R5,N10,MOCK,C,55,94.5
R5,N10,201900,D,55,125
R6,N100,MOCK,A,55,195
R6,N100,201900,B,55,198
R6,N10,MOCK,C,55,109.5
R6,N10,201900,D,55,135.5
R7,N100,MOCK,A,55,184.5
R7,N100,201900,B,55,201
R7,N10,MOCK,C,55,122
R7,N10,201900,D,55,111
R1,N100,MOCK,A,59,184.5
R1,N100,201900,B,59,196.5
R1,N10,MOCK,C,59,109.5
R1,N10,201900,D,59,12.5
R2,N100,MOCK,A,59,212
R2,N100,201900,B,59,212
R2,N10,MOCK,C,59,116
R2,N10,201900,D,59,120.5
R3,N100,MOCK,A,59,213.5
R3,N100,201900,B,59,212
R3,N10,MOCK,C,59,105
R3,N10,201900,D,59,125
R4,N100,MOCK,A,59,221
R4,N100,201900,B,59,219.5
R4,N10,MOCK,C,59,100.5
R4,N10,201900,D,59,128
R5,N100,MOCK,A,59,201
R5,N100,201900,B,59,207.5
R5,N10,MOCK,C,59,100.5
R5,N10,201900,D,59,150
R6,N100,MOCK,A,59,207.5
R6,N100,201900,B,59,210.5
R6,N10,MOCK,C,59,122
R6,N10,201900,D,59,161.5
R7,N100,MOCK,A,59,195
R7,N100,201900,B,59,207.5
R7,N10,MOCK,C,59,140
R7,N10,201900,D,59,125
R1,N100,MOCK,A,63,210.5
R1,N100,201900,B,63,219.5
R1,N10,MOCK,C,63,137
R1,N10,201900,D,63,146.5
R2,N100,MOCK,A,63,222.5
R2,N100,201900,B,63,231.5
R2,N10,MOCK,C,63,152.5
R2,N10,201900,D,63,178.5
R3,N100,MOCK,A,63,228.5
R3,N100,201900,B,63,233
R3,N10,MOCK,C,63,137
R3,N10,201900,D,63,180
R4,N100,MOCK,A,63,234.5
R4,N100,201900,B,63,231.5
R4,N10,MOCK,C,63,131
R4,N10,201900,D,63,187.5
R5,N100,MOCK,A,63,210.5
R5,N100,201900,B,63,218
R5,N10,MOCK,C,63,134
R5,N10,201900,D,63,213.5
R6,N100,MOCK,A,63,230
R6,N100,201900,B,63,218
R6,N10,MOCK,C,63,170.5
R6,N10,201900,D,63,233
R7,N100,MOCK,A,63,210.5
R7,N100,201900,B,63,210.5
R7,N10,MOCK,C,63,210.5
R7,N10,201900,D,63,183